time (s),VT("/out") -  VDC("/out") (V)
298.50E-9,-4.8300644E-3
299.00E-9,-5.0793774E-3
299.50E-9,-5.3239559E-3
300.00E-9,-5.5630456E-3
300.50E-9,-5.7957509E-3
301.00E-9,-6.0225243E-3
301.50E-9,-6.2428012E-3
302.00E-9,-6.4569648E-3
302.50E-9,-6.6643923E-3
303.00E-9,-6.8643783E-3
303.50E-9,-7.0572363E-3
304.00E-9,-7.2425181E-3
304.50E-9,-7.4201413E-3
305.00E-9,-7.5898654E-3
305.50E-9,-7.7515353E-3
306.00E-9,-7.9057785E-3
306.50E-9,-8.0516554E-3
307.00E-9,-8.1881963E-3
307.50E-9,-8.3163835E-3
308.00E-9,-8.4355570E-3
308.50E-9,-8.5458350E-3
309.00E-9,-8.6469870E-3
309.50E-9,-8.7389592E-3
310.00E-9,-8.8216296E-3
310.50E-9,-8.8949222E-3
311.00E-9,-8.9587543E-3
311.50E-9,-9.0130607E-3
312.00E-9,-9.0577829E-3
312.50E-9,-9.0928742E-3
313.00E-9,-9.1182971E-3
313.50E-9,-9.1340250E-3
314.00E-9,-9.1400411E-3
314.50E-9,-9.1363391E-3
315.00E-9,-9.1229229E-3
315.50E-9,-9.0998067E-3
316.00E-9,-9.0670149E-3
316.50E-9,-9.0245822E-3
317.00E-9,-8.9725535E-3
317.50E-9,-8.9109839E-3
318.00E-9,-8.8399383E-3
318.50E-9,-8.7594920E-3
319.00E-9,-8.6697300E-3
319.50E-9,-8.5707472E-3
320.00E-9,-8.4626484E-3
320.50E-9,-8.3455477E-3
321.00E-9,-8.2195691E-3
321.50E-9,-8.0848458E-3
322.00E-9,-7.9415202E-3
322.50E-9,-7.7897439E-3
323.00E-9,-7.6296775E-3
323.50E-9,-7.4614901E-3
324.00E-9,-7.2432147E-3
324.50E-9,-7.0382016E-3
325.00E-9,-6.8607033E-3
325.50E-9,-6.6597446E-3
326.00E-9,-6.4942901E-3
326.50E-9,-6.3007152E-3
327.00E-9,-6.0728365E-3
327.50E-9,-5.8513436E-3
328.00E-9,-5.6176526E-3
328.50E-9,-5.3603345E-3
329.00E-9,-5.1073568E-3
329.50E-9,-4.8670352E-3
330.00E-9,-4.6131922E-3
330.50E-9,-4.3774547E-3
331.00E-9,-4.0915765E-3
331.50E-9,-3.8380340E-3
332.00E-9,-3.5634221E-3
332.50E-9,-3.3005323E-3
333.00E-9,-3.0258831E-3
333.50E-9,-2.7428211E-3
334.00E-9,-2.4592683E-3
334.50E-9,-2.1728390E-3
335.00E-9,-1.8846858E-3
335.50E-9,-1.5936945E-3
336.00E-9,-1.3014047E-3
336.50E-9,-1.0084005E-3
337.00E-9,-714.65327E-6
337.50E-9,-419.59620E-6
338.00E-9,-124.35246E-6
338.50E-9,170.83918E-6
339.00E-9,465.54877E-6
339.50E-9,760.11327E-6
340.00E-9,1.0537126E-3
340.50E-9,1.3453733E-3
341.00E-9,1.6355068E-3
341.50E-9,1.9245687E-3
